bank_reference,date,description,amount,transaction_type
BNK1001,2026-08-24,Office Supplies Co,1590.12,Debit
BNK1002,2026-08-05,Uber,600.25,Debit
BNK1003,2026-08-24,Tata Communications,3963.37,Debit
BNK1004,2026-08-14,AWS,8322.78,Debit
BNK1005,2026-08-07,Amazon India,4294.7,Debit
BNK1006,2026-08-01,Swiggy,801.29,Debit
BNK1007,2026-08-21,AWS,8641.69,Debit
BNK1008,2026-08-08,Tata Communications,4560.67,Debit
BNK1009,2026-08-26,Netflix,666.38,Debit
BNK1010,2026-08-06,Amazon India,5388.21,Debit
BNK1011,2026-08-09,Tata Communications,4395.53,Debit
BNK1012,2026-08-25,Google Cloud,7316.75,Debit
BNK1013,2026-08-13,Zomato,836.63,Debit
BNK1014,2026-08-12,Microsoft Azure,11492.33,Debit
BNK1015,2026-08-02,Razorpay,2323.39,Debit
BNK1016,2026-08-04,Tata Communications,4445.22,Debit
BNK1017,2026-08-10,Adobe Systems,3057.74,Debit
BNK1018,2026-08-28,Office Supplies Co,1864.0,Debit
BNK1019,2026-08-23,Zomato,972.05,Debit
BNK1020,2026-08-08,Microsoft Azure,10364.97,Debit
BNK1021,2026-08-28,Uber,744.62,Debit
BNK1022,2026-08-13,Swiggy,887.96,Debit
BNK1023,2026-08-27,Uber,640.92,Debit
BNK1024,2026-08-12,Zomato,853.86,Debit
BNK1025,2026-08-23,Swiggy,840.84,Debit
BNK1026,2026-08-20,Office Supplies Co,1879.94,Debit
BNK1027,2026-08-24,Office Supplies Co,1622.41,Debit
BNK1028,2026-08-13,Swiggy,719.22,Debit
BNK1029,2026-08-21,Uber,745.46,Debit
BNK1030,2026-08-22,Tata Communications,4576.88,Debit
BNK1031,2026-08-25,Zomato,1047.71,Debit
BNK1032,2026-08-02,Amazon India,4593.57,Debit
BNK1033,2026-08-03,Zomato,921.83,Debit
BNK1034,2026-08-19,Swiggy,899.15,Debit
BNK1035,2026-08-21,Tata Communications,4249.82,Debit
BNK1036,2026-08-30,Netflix,628.68,Debit
BNK1037,2026-08-09,Office Supplies Co,1777.78,Debit
BNK1038,2026-08-18,Google Cloud,7391.91,Debit
BNK1039,2026-08-19,AWS,8823.81,Debit
BNK1040,2026-08-13,Adobe Systems,3917.71,Debit
BNK1041,2026-08-05,AMAZON PAY INDIA,4792.99,Debit
BNK1042,2026-08-03,MS AZURE SERVICES,12034.29,Debit
BNK1043,2026-08-28,GOOGLE *CLOUD,8613.88,Debit
BNK1044,2026-08-21,SWIGGY ONLINE,706.32,Debit
BNK1045,2026-08-22,UBER* TRIP,583.7,Debit
BNK1046,2026-08-03,ZOMATO LTD,927.82,Debit
BNK1047,2026-08-20,ADOBE INC,3379.01,Debit
BNK1048,2026-08-17,NETFLIX.COM,745.59,Debit
BNK1049,2026-08-22,MS AZURE SERVICES,10955.09,Debit
BNK1050,2026-08-25,GOOGLE *CLOUD,8329.73,Debit
BNK1051,2026-08-10,AMAZON WEB SERVICES,9751.74,Debit
BNK1052,2026-08-01,TATA COMM LTD,4661.93,Debit
BNK1053,2026-08-19,Razorpay,2840.36,Debit
BNK1054,2026-08-23,Office Supplies Co,1941.46,Debit
BNK1055,2026-08-20,Adobe Systems,3889.04,Debit
BNK1056,2026-08-24,Office Supplies Co,1590.12,Debit
BNK1057,2026-08-05,Uber,600.25,Debit
BNK1058,2026-08-16,GOOGLE *CLOUD,9513.84,Debit
BNK1059,2026-08-31,TATA COMM LTD,5133.58,Debit
