settlement_id,transaction_reference,settlement_date,merchant,gross_amount,fee,net_amount
SET001,TXN001,2026-08-25,Office Supplies Co,1590.12,15.9,1574.22
SET002,TXN002,2026-08-06,Uber,600.25,6.0,594.25
SET003,TXN003,2026-08-25,Tata Communications,3963.37,39.63,3923.74
SET004,TXN004,2026-08-15,AWS,8322.78,83.23,8239.55
SET005,TXN005,2026-08-08,Amazon India,4294.7,42.95,4251.75
SET006,TXN006,2026-08-02,Swiggy,801.29,8.01,793.28
SET007,TXN007,2026-08-22,AWS,8641.69,86.42,8555.27
SET008,TXN008,2026-08-09,Tata Communications,4560.67,45.61,4515.06
SET009,TXN009,2026-08-27,Netflix,666.38,6.66,659.72
SET010,TXN010,2026-08-07,Amazon India,5388.21,53.88,5334.33
SET011,TXN011,2026-08-10,Tata Communications,4395.53,43.96,4351.57
SET012,TXN012,2026-08-26,Google Cloud,7316.75,73.17,7243.58
SET013,TXN013,2026-08-14,Zomato,836.63,8.37,828.26
SET014,TXN014,2026-08-13,Microsoft Azure,11492.33,114.92,11377.41
SET015,TXN015,2026-08-03,Razorpay,2323.39,23.23,2300.16
SET016,TXN016,2026-08-05,Tata Communications,4445.22,44.45,4400.77
SET017,TXN017,2026-08-11,Adobe Systems,3057.74,30.58,3027.16
SET018,TXN018,2026-08-29,Office Supplies Co,1864.0,18.64,1845.36
SET019,TXN019,2026-08-24,Zomato,972.05,9.72,962.33
SET020,TXN020,2026-08-09,Microsoft Azure,10364.97,103.65,10261.32
SET021,TXN021,2026-08-29,Uber,744.62,7.45,737.17
SET022,TXN022,2026-08-14,Swiggy,887.96,8.88,879.08
SET023,TXN023,2026-08-28,Uber,640.92,6.41,634.51
SET024,TXN024,2026-08-13,Zomato,853.86,8.54,845.32
SET025,TXN025,2026-08-24,Swiggy,840.84,8.41,832.43
SET026,TXN026,2026-08-21,Office Supplies Co,1879.94,18.8,1861.14
SET027,TXN027,2026-08-25,Office Supplies Co,1622.41,16.22,1606.19
SET028,TXN028,2026-08-14,Swiggy,719.22,7.19,712.03
SET029,TXN029,2026-08-22,Uber,745.46,7.45,738.01
SET030,TXN030,2026-08-23,Tata Communications,4576.88,45.77,4531.11
SET031,TXN031,2026-08-26,Zomato,1047.71,10.48,1037.23
SET032,TXN032,2026-08-03,Amazon India,4593.57,45.94,4547.63
SET033,TXN033,2026-08-04,Zomato,921.83,9.22,912.61
SET034,TXN034,2026-08-20,Swiggy,899.15,8.99,890.16
SET035,TXN035,2026-08-22,Tata Communications,4249.82,42.5,4207.32
SET036,TXN036,2026-08-31,Netflix,628.68,6.29,622.39
SET037,TXN037,2026-08-10,Office Supplies Co,1777.78,17.78,1760.0
SET038,TXN038,2026-08-19,Google Cloud,7391.91,73.92,7317.99
SET039,TXN039,2026-08-20,AWS,8823.81,88.24,8735.57
SET040,TXN040,2026-08-14,Adobe Systems,3917.71,39.18,3878.53
SET041,TXN041,2026-08-06,Amazon India,4792.99,47.93,4745.06
SET042,TXN042,2026-08-04,Microsoft Azure,12034.29,120.34,11913.95
SET043,TXN043,2026-08-29,Google Cloud,8613.88,86.14,8527.74
SET044,TXN044,2026-08-22,Swiggy,706.32,7.06,699.26
SET045,TXN045,2026-08-23,Uber,583.7,5.84,577.86
SET046,TXN046,2026-08-04,Zomato,927.82,9.28,918.54
SET047,TXN047,2026-08-21,Adobe Systems,3379.01,33.79,3345.22
SET048,TXN048,2026-08-18,Netflix,745.59,7.46,738.13
SET049,TXN049,2026-08-23,Microsoft Azure,11105.09,111.05,10994.04
SET050,TXN050,2026-08-26,Google Cloud,8529.73,85.3,8444.43
SET051,TXN051,2026-08-11,AWS,9901.74,99.02,9802.72
SET052,TXN052,2026-08-02,Tata Communications,4411.93,44.12,4367.81
SET053,TXN053,2026-08-20,Razorpay,2840.36,28.4,2811.96
SET054,TXN054,2026-08-24,Office Supplies Co,1941.46,19.41,1922.05
SET055,TXN055,2026-08-21,Adobe Systems,3889.04,38.89,3850.15
